"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1465","11","Kabupaten Kepulauan Seribu","3101","2","-5.6122404","106.6169964","1"
"1466","11","Kota Jakarta Selatan","3174","2","-6.2841065","106.8020795","1"
"1467","11","Kota Jakarta Timur","3175","2","-6.261128","106.9050831","1"
"1468","11","Kota Jakarta Pusat","3171","2","-6.182313","106.8364646","1"
"1469","11","Kota Jakarta Barat","3173","2","-6.1599916","106.6748574","1"
"1470","11","Kota Jakarta Utara","3172","2","-6.135709","106.7594984","1"
